"icd10","visit_type2","monthly_expenditure"
"A084","Outpatient",634.46539
"A088","Inpatient",6310.2803
"A088","Outpatient",359.16595
"A09","Inpatient",5957.0337
"A09","Outpatient",383.55322
"A150","Inpatient",14755.653
"A150","Outpatient",202.35683
"A154","Inpatient",NA
"A154","Outpatient",132.28813
"A155","Inpatient",18666.152
"A155","Outpatient",350.26263
"A156","Inpatient",19222.293
"A156","Outpatient",300.80774
"A157","Inpatient",12330.298
"A157","Outpatient",127.97484
"A158","Inpatient",12496.789
"A158","Outpatient",247.99545
"A159","Inpatient",8926.2881
"A159","Outpatient",158.81944
"A170","Inpatient",24171.988
"A170","Outpatient",426.51486
"A171","Inpatient",NA
"A171","Outpatient",155.8244
"A1781","Inpatient",40776.77
"A1781","Outpatient",406.22458
"A1782","Inpatient",32163.113
"A1782","Outpatient",NA
"A1789","Inpatient",NA
"A1789","Outpatient",103.07129
"A179","Inpatient",3594.0579
"A179","Outpatient",157.52965
"A1801","Inpatient",13352.313
"A1801","Outpatient",422.39001
"A1802","Inpatient",12525.878
"A1802","Outpatient",250.92845
"A1803","Inpatient",NA
"A1803","Outpatient",199.7606
"A1809","Inpatient",NA
"A1809","Outpatient",163.01062
"A1810","Inpatient",NA
"A1810","Outpatient",171.0387
"A1811","Inpatient",22272.334
"A1811","Outpatient",329.02872
"A1812","Inpatient",NA
"A1812","Outpatient",237.38483
"A1813","Inpatient",NA
"A1813","Outpatient",237.23717
"A1814","Inpatient",NA
"A1814","Outpatient",131.43912
"A1815","Inpatient",NA
"A1815","Outpatient",554.31982
"A1817","Inpatient",NA
"A1817","Outpatient",750.89093
"A182","Inpatient",10877.579
"A182","Outpatient",234.82864
"A1831","Inpatient",23045.404
"A1831","Outpatient",292.55234
"A1832","Inpatient",11830.312
"A1832","Outpatient",378.45352
"A1839","Inpatient",14491.875
"A1839","Outpatient",283.73328
"A184","Inpatient",5386.5317
"A184","Outpatient",386.758
"A1850","Inpatient",NA
"A1850","Outpatient",151.16895
"A1851","Inpatient",NA
"A1851","Outpatient",221.72612
"A1852","Inpatient",NA
"A1852","Outpatient",178.61864
"A1853","Inpatient",NA
"A1853","Outpatient",147.35117
"A1854","Inpatient",NA
"A1854","Outpatient",227.47617
"A1859","Inpatient",NA
"A1859","Outpatient",351.77078
"A186","Inpatient",NA
"A186","Outpatient",166.26888
"A187","Inpatient",NA
"A187","Outpatient",407.08582
"A1881","Inpatient",NA
"A1881","Outpatient",56.938541
"A1883","Inpatient",17572.365
"A1883","Outpatient",303.39716
"A1884","Inpatient",23673.234
"A1884","Outpatient",302.48077
"A1889","Inpatient",3243.1113
"A1889","Outpatient",140.93324
"A190","Inpatient",6463.3906
"A190","Outpatient",673.62842
"A191","Inpatient",21195.691
"A191","Outpatient",386.55731
"A192","Inpatient",15984.916
"A192","Outpatient",289.75137
"A198","Inpatient",24330.586
"A198","Outpatient",282.716
"A199","Inpatient",27935.945
"A199","Outpatient",345.16821
"A200","Inpatient",NA
"A200","Outpatient",61.425884
"A201","Inpatient",NA
"A201","Outpatient",156.26633
"A202","Inpatient",NA
"A202","Outpatient",96.18586
"A207","Inpatient",6501.9165
"A207","Outpatient",243.37939
"A208","Inpatient",NA
"A208","Outpatient",774.03296
"A209","Inpatient",80.028
"A209","Outpatient",188.16475
"A210","Inpatient",NA
"A210","Outpatient",218.20622
"A211","Inpatient",NA
"A211","Outpatient",177.56
"A212","Inpatient",NA
"A212","Outpatient",89.423279
"A213","Inpatient",NA
"A213","Outpatient",145.5463
"A217","Inpatient",NA
"A217","Outpatient",203.80052
"A218","Inpatient",NA
"A218","Outpatient",180.86084
"A219","Inpatient",8586.0137
"A219","Outpatient",229.06555
"A221","Inpatient",NA
"A221","Outpatient",114.69675
"A227","Inpatient",10877.4
"A227","Outpatient",1663.2493
"A230","Inpatient",NA
"A230","Outpatient",145.67319
"A231","Inpatient",NA
"A231","Outpatient",779.51239
"A238","Inpatient",NA
"A238","Outpatient",161.39783
"A239","Inpatient",11032.818
"A239","Outpatient",221.82133
"A240","Inpatient",NA
"A240","Outpatient",847.69189
"A241","Inpatient",6840.6821
"A241","Outpatient",418.84894
"A249","Inpatient",NA
"A249","Outpatient",487.27478
"A250","Inpatient",NA
"A250","Outpatient",65.059227
"A251","Inpatient",NA
"A251","Outpatient",47.890869
"A259","Inpatient",NA
"A259","Outpatient",94.749069
"A260","Inpatient",8008.9541
"A260","Outpatient",183.7119
"A267","Inpatient",10636.868
"A267","Outpatient",322.89377
"A269","Inpatient",NA
"A269","Outpatient",189.87302
"A270","Inpatient",NA
"A270","Outpatient",118.55972
"A2781","Inpatient",4875.1245
"A2781","Outpatient",334.349
"A2789","Inpatient",NA
"A2789","Outpatient",112.98471
"A279","Inpatient",11438
"A279","Outpatient",186.44467
"A280","Inpatient",15571.34
"A280","Outpatient",352.77841
"A281","Inpatient",6953.2617
"A281","Outpatient",218.81786
"A288","Inpatient",NA
"A288","Outpatient",249.99309
"A289","Inpatient",4239.561
"A289","Outpatient",249.4516
"A300","Inpatient",NA
"A300","Outpatient",64.912605
"A301","Inpatient",NA
"A301","Outpatient",176.94992
"A302","Inpatient",NA
"A302","Outpatient",108.60854
"A303","Inpatient",NA
"A303","Outpatient",97.923271
"A304","Inpatient",NA
"A304","Outpatient",82.078705
"A305","Inpatient",NA
"A305","Outpatient",133.61255
"A309","Inpatient",NA
"A309","Outpatient",155.05011
"A310","Inpatient",11406.561
"A310","Outpatient",214.15207
"A311","Inpatient",10671.334
"A311","Outpatient",341.4924
"A312","Inpatient",15219.583
"A312","Outpatient",207.70622
"A318","Inpatient",11228.735
"A318","Outpatient",302.1976
"A319","Inpatient",4527.2788
"A319","Outpatient",271.95844
"A3211","Inpatient",16952.809
"A3211","Outpatient",284.07635
"A3212","Inpatient",14904.699
"A3212","Outpatient",318.94574
"A327","Inpatient",20352.57
"A327","Outpatient",570.61212
"A3282","Inpatient",9257.9287
"A3282","Outpatient",361.93576
"A3289","Inpatient",13202.227
"A3289","Outpatient",487.5408
"A329","Inpatient",7639.3022
"A329","Outpatient",350.0603
"A35","Inpatient",23639.85
"A35","Outpatient",445.65027
"A360","Inpatient",NA
"A360","Outpatient",91.206512
"A363","Inpatient",NA
"A363","Outpatient",137.42749
"A3681","Inpatient",NA
"A3681","Outpatient",214.51321
"A3685","Inpatient",NA
"A3685","Outpatient",192.94167
"A3686","Inpatient",NA
"A3686","Outpatient",99.83889
"A3689","Inpatient",NA
"A3689","Outpatient",57.004089
"A369","Inpatient",4221.6279
"A369","Outpatient",1373.4041
"A3700","Inpatient",7672.5596
"A3700","Outpatient",255.65849
"A3701","Inpatient",9811.3066
"A3701","Outpatient",234.13644
"A3710","Inpatient",NA
"A3710","Outpatient",460.2702
"A3711","Inpatient",NA
"A3711","Outpatient",133.71539
"A3780","Inpatient",NA
"A3780","Outpatient",220.36531
"A3781","Inpatient",6974.855
"A3781","Outpatient",270.58395
"A3790","Inpatient",6511.4463
"A3790","Outpatient",187.07573
"A3791","Inpatient",6899.6963
"A3791","Outpatient",130.45898
"A380","Inpatient",NA
"A380","Outpatient",68.954613
"A388","Inpatient",NA
"A388","Outpatient",244.01222
"A389","Inpatient",10415.733
"A389","Outpatient",193.73549
"A390","Inpatient",11010.894
"A390","Outpatient",617.03271
"A391","Inpatient",9913.916
"A391","Outpatient",690.79291
"A392","Inpatient",21227.621
"A392","Outpatient",NA
"A394","Inpatient",12182.067
"A394","Outpatient",373.95258
"A3981","Inpatient",11644.938
"A3981","Outpatient",355.79486
"A3983","Inpatient",NA
"A3983","Outpatient",97.91188
"A3984","Inpatient",NA
"A3984","Outpatient",432.3533
"A399","Inpatient",3923.7869
"A399","Outpatient",480.25604
"A400","Inpatient",20129.266
"A400","Outpatient",879.32751
"A401","Inpatient",16601.605
"A401","Outpatient",751.05975
"A403","Inpatient",16900.246
"A403","Outpatient",705.77203
"A408","Inpatient",18067.197
"A408","Outpatient",825.39972
"A409","Inpatient",14990.32
"A409","Outpatient",605.39307
"A4101","Inpatient",20646.359
"A4101","Outpatient",727.14709
"A4102","Inpatient",22188.225
"A4102","Outpatient",1122.0233
"A411","Inpatient",18210.668
"A411","Outpatient",1296.6554
"A412","Inpatient",14167.584
"A412","Outpatient",528.92816
"A413","Inpatient",18911.217
"A413","Outpatient",879.16455
"A414","Inpatient",17102.457
"A414","Outpatient",845.93658
"A4150","Inpatient",13724.254
"A4150","Outpatient",869.45709
"A4151","Inpatient",14979.736
"A4151","Outpatient",852.88678
"A4152","Inpatient",19020.016
"A4152","Outpatient",1296.4847
"A4153","Inpatient",19657.207
"A4153","Outpatient",912.65186
"A4159","Inpatient",18273.934
"A4159","Outpatient",1461.3627
"A4181","Inpatient",18732.348
"A4181","Outpatient",1099.7805
"A4189","Inpatient",14305.602
"A4189","Outpatient",877.32635
"A419","Inpatient",15276.518
"A419","Outpatient",792.76923
"A420","Inpatient",16017.417
"A420","Outpatient",432.24454
"A421","Inpatient",4883.7998
"A421","Outpatient",363.68719
"A422","Inpatient",8330.585
"A422","Outpatient",354.99234
"A427","Inpatient",13021.878
"A427","Outpatient",256.26123
"A4289","Inpatient",11551.008
"A4289","Outpatient",354.42221
"A429","Inpatient",4640.3784
"A429","Outpatient",314.00604
"A430","Inpatient",17396.236
"A430","Outpatient",406.27832
"A431","Inpatient",14515.748
"A431","Outpatient",215.8201
"A438","Inpatient",28660.988
"A438","Outpatient",396.42999
"A439","Inpatient",5136.1738
"A439","Outpatient",301.30655
"A440","Inpatient",21033.949
"A440","Outpatient",517.07654
"A441","Inpatient",2037.2153
"A441","Outpatient",170.89018
"A448","Inpatient",NA
"A448","Outpatient",265.77048
"A449","Inpatient",6443.9014
"A449","Outpatient",242.27682
"A46","Inpatient",6621.6733
"A46","Outpatient",306.30298
"A480","Inpatient",8899.3564
"A480","Outpatient",704.0199
"A481","Inpatient",11262.298
"A481","Outpatient",165.00549
"A482","Inpatient",11029.835
"A482","Outpatient",45.116543
"A483","Inpatient",21540.758
"A483","Outpatient",899.08838
"A4852","Inpatient",17575.834
"A4852","Outpatient",157.11905
"A488","Inpatient",4497.9639
"A488","Outpatient",221.08156
"A4901","Inpatient",4289.0933
"A4901","Outpatient",375.67886
"A4902","Inpatient",5230.3882
"A4902","Outpatient",414.32602
"A491","Inpatient",2293.908
"A491","Outpatient",378.01584
"A492","Inpatient",4579.2876
"A492","Outpatient",239.4169
"A493","Inpatient",4170.3115
"A493","Outpatient",241.12651
"A498","Inpatient",2051.4604
"A498","Outpatient",339.55124
"A499","Inpatient",3767.2463
"A499","Outpatient",160.01114
"A5001","Inpatient",NA
"A5001","Outpatient",83.832306
"A5002","Inpatient",NA
"A5002","Outpatient",603.23077
"A5004","Inpatient",NA
"A5004","Outpatient",253.504
"A5005","Inpatient",NA
"A5005","Outpatient",153.0213
"A5006","Inpatient",NA
"A5006","Outpatient",110.38949
"A5008","Inpatient",NA
"A5008","Outpatient",153.10316
"A5009","Inpatient",NA
"A5009","Outpatient",394.3645
"A501","Inpatient",NA
"A501","Outpatient",128.84421
"A502","Inpatient",NA
"A502","Outpatient",106.9051
"A5043","Inpatient",NA
"A5043","Outpatient",703.73297
"A5049","Inpatient",NA
"A5049","Outpatient",263.30219
"A509","Inpatient",1379.3345
"A509","Outpatient",150.78883
"A510","Inpatient",NA
"A510","Outpatient",308.11459
"A511","Inpatient",NA
"A511","Outpatient",176.3992
"A512","Inpatient",NA
"A512","Outpatient",174.6949
"A5131","Inpatient",3904.2427
"A5131","Outpatient",284.68289
"A5132","Inpatient",NA
"A5132","Outpatient",145.76723
"A5139","Inpatient",6760.3105
"A5139","Outpatient",278.44955
"A5143","Inpatient",8527.7158
"A5143","Outpatient",456.43149
"A5149","Inpatient",9246.1973
"A5149","Outpatient",278.8334
"A515","Inpatient",2338.8726
"A515","Outpatient",181.21214
"A519","Inpatient",5482.4673
"A519","Outpatient",170.77809
"A5200","Inpatient",NA
"A5200","Outpatient",92.309044
"A5201","Inpatient",NA
"A5201","Outpatient",262.80109
"A5202","Inpatient",14777.581
"A5202","Outpatient",437.70499
"A5203","Inpatient",2944.79
"A5203","Outpatient",303.80008
"A5205","Inpatient",7667.9214
"A5205","Outpatient",173.21336
"A5206","Inpatient",5351.0107
"A5206","Outpatient",189.87466
"A5209","Inpatient",NA
"A5209","Outpatient",157.37953
"A5210","Inpatient",6388.0474
"A5210","Outpatient",338.26068
"A5211","Inpatient",8902.749
"A5211","Outpatient",266.08057
"A5212","Inpatient",NA
"A5212","Outpatient",123.52
"A5213","Inpatient",28502.668
"A5213","Outpatient",445.56046
"A5214","Inpatient",NA
"A5214","Outpatient",195.72037
"A5215","Inpatient",9092.8291
"A5215","Outpatient",194.29121
"A5216","Inpatient",9881.6416
"A5216","Outpatient",663.95349
"A5217","Inpatient",8265.3037
"A5217","Outpatient",332.99582
"A5219","Inpatient",12906.851
"A5219","Outpatient",276.91486
"A522","Inpatient",11431.823
"A522","Outpatient",218.37254
"A523","Inpatient",12527.127
"A523","Outpatient",471.29803
"A5271","Inpatient",8642.0723
"A5271","Outpatient",431.95569
"A5274","Inpatient",NA
"A5274","Outpatient",121.4288
"A5276","Inpatient",NA
"A5276","Outpatient",137.46167
"A5278","Inpatient",NA
"A5278","Outpatient",311.96814
"A5279","Inpatient",11178.188
"A5279","Outpatient",384.0051
"A528","Inpatient",9078.7715
"A528","Outpatient",270.13416
"A529","Inpatient",6740.7979
"A529","Outpatient",255.75117
"A530","Inpatient",6497.1367
"A530","Outpatient",221.07759
"A539","Inpatient",3755.1235
"A539","Outpatient",248.85628
"A5400","Inpatient",4026.6755
"A5400","Outpatient",177.158
"A5401","Inpatient",3357.6658
"A5401","Outpatient",265.28876
"A5402","Inpatient",NA
"A5402","Outpatient",187.85806
"A5403","Inpatient",NA
"A5403","Outpatient",194.80412
"A5409","Inpatient",6540.4463
"A5409","Outpatient",340.86661
"A541","Inpatient",NA
"A541","Outpatient",337.51794
"A5421","Inpatient",NA
"A5421","Outpatient",520.5249
"A5422","Inpatient",NA
"A5422","Outpatient",167.01118
"A5423","Inpatient",6452.853
"A5423","Outpatient",187.50471
"A5424","Inpatient",8369.4277
"A5424","Outpatient",233.21817
"A5429","Inpatient",NA
"A5429","Outpatient",160.83212
"A5430","Inpatient",NA
"A5430","Outpatient",145.65115
"A5431","Inpatient",NA
"A5431","Outpatient",182.17448
"A5439","Inpatient",NA
"A5439","Outpatient",110.01857
"A5442","Inpatient",13718.558
"A5442","Outpatient",252.72241
"A5449","Inpatient",NA
"A5449","Outpatient",234.015
"A545","Inpatient",NA
"A545","Outpatient",159.66943
"A546","Inpatient",NA
"A546","Outpatient",161.56416
"A5484","Inpatient",6656.8281
"A5484","Outpatient",408.01901
"A5486","Inpatient",14001.802
"A5486","Outpatient",1209.0511
"A5489","Inpatient",9551.7188
"A5489","Outpatient",219.83888
"A549","Inpatient",5229.4912
"A549","Outpatient",178.43282
"A55","Inpatient",NA
"A55","Outpatient",304.43552
"A5600","Inpatient",NA
"A5600","Outpatient",130.30017
"A5601","Inpatient",NA
"A5601","Outpatient",214.67899
"A5602","Inpatient",NA
"A5602","Outpatient",212.50391
"A5609","Inpatient",NA
"A5609","Outpatient",178.95851
"A5611","Inpatient",8075.4355
"A5611","Outpatient",420.98068
"A5619","Inpatient",NA
"A5619","Outpatient",192.04901
"A562","Inpatient",5056.1753
"A562","Outpatient",194.80717
"A563","Inpatient",NA
"A563","Outpatient",172.02031
"A564","Inpatient",NA
"A564","Outpatient",192.08606
"A568","Inpatient",NA
"A568","Outpatient",186.02765
"A57","Inpatient",NA
"A57","Outpatient",248.78091
"A58","Inpatient",NA
"A58","Outpatient",660.05573
"A5900","Inpatient",7476.0986
"A5900","Outpatient",225.57446
"A5901","Inpatient",5500.6797
"A5901","Outpatient",273.8775
"A5902","Inpatient",NA
"A5902","Outpatient",149.55057
"A5903","Inpatient",8557.5557
"A5903","Outpatient",345.21811
"A5909","Inpatient",NA
"A5909","Outpatient",308.49347
"A598","Inpatient",NA
"A598","Outpatient",203.8289
"A599","Inpatient",4137.8608
"A599","Outpatient",263.54395
"A6000","Inpatient",4251.4321
"A6000","Outpatient",166.14272
"A6001","Inpatient",7301.2065
"A6001","Outpatient",182.54895
"A6002","Inpatient",7023.3389
"A6002","Outpatient",188.8797
"A6003","Inpatient",NA
"A6003","Outpatient",210.28271
"A6004","Inpatient",8383.8262
"A6004","Outpatient",158.84686
"A6009","Inpatient",8437.7705
"A6009","Outpatient",153.05675
"A601","Inpatient",8677.377
"A601","Outpatient",201.58282
"A609","Inpatient",3109.7639
"A609","Outpatient",132.27266
"A630","Inpatient",6749.978
"A630","Outpatient",556.85541
"A638","Inpatient",NA
"A638","Outpatient",132.57559
"A64","Inpatient",2293.0378
"A64","Outpatient",190.35167
"A65","Inpatient",NA
"A65","Outpatient",124.48135
"A660","Inpatient",NA
"A660","Outpatient",137.27451
"A661","Inpatient",NA
"A661","Outpatient",214.77074
"A662","Inpatient",NA
"A662","Outpatient",115.66748
"A663","Inpatient",NA
"A663","Outpatient",138.29709
"A664","Inpatient",NA
"A664","Outpatient",138.24181
"A666","Inpatient",1846.7437
"A666","Outpatient",309.95047
"A669","Inpatient",NA
"A669","Outpatient",102.12604
"A670","Inpatient",NA
"A670","Outpatient",472.06839
"A671","Inpatient",NA
"A671","Outpatient",132.68297
"A672","Inpatient",NA
"A672","Outpatient",106.78629
"A673","Inpatient",NA
"A673","Outpatient",127.74115
"A679","Inpatient",NA
"A679","Outpatient",48.727501
"A680","Inpatient",NA
"A680","Outpatient",160.99307
"A681","Inpatient",6630.1196
"A681","Outpatient",170.72133
"A689","Inpatient",4045.0376
"A689","Outpatient",232.05714
"A690","Inpatient",5088.3247
"A690","Outpatient",246.51704
"A691","Inpatient",10297.271
"A691","Outpatient",305.58389
"A6920","Inpatient",7651.4224
"A6920","Outpatient",234.26759
"A6921","Inpatient",11528.01
"A6921","Outpatient",638.55072
"A6922","Inpatient",11706.999
"A6922","Outpatient",443.1701
"A6923","Inpatient",8940.0342
"A6923","Outpatient",265.80267
"A6929","Inpatient",8358.4951
"A6929","Outpatient",232.74602
"A698","Inpatient",NA
"A698","Outpatient",277.71179
"A699","Inpatient",NA
"A699","Outpatient",163.00806
"A70","Inpatient",11054.253
"A70","Outpatient",184.07689
"A710","Inpatient",NA
"A710","Outpatient",97.10421
"A711","Inpatient",NA
"A711","Outpatient",117.46011
"A719","Inpatient",5193.2671
"A719","Outpatient",141.13708
"A740","Inpatient",NA
"A740","Outpatient",148.96454
"A7489","Inpatient",NA
"A7489","Outpatient",146.59511
"A749","Inpatient",1999.5896
"A749","Outpatient",167.3508
"A750","Inpatient",NA
"A750","Outpatient",244.77222
"A751","Inpatient",NA
"A751","Outpatient",161.39102
"A752","Inpatient",14429.808
"A752","Outpatient",203.60196
"A759","Inpatient",7402.8325
"A759","Outpatient",301.797
"A770","Inpatient",9252.627
"A770","Outpatient",257.99533
"A771","Inpatient",NA
"A771","Outpatient",168.6337
"A7740","Inpatient",8869.6914
"A7740","Outpatient",315.5119
"A7741","Inpatient",9992.0332
"A7741","Outpatient",186.16383
"A7749","Inpatient",9674.7881
"A7749","Outpatient",344.04919
"A778","Inpatient",808.99652
"A778","Outpatient",185.98413
"A779","Inpatient",7424.4653
"A779","Outpatient",144.24812
"A78","Inpatient",5197.4106
"A78","Outpatient",141.312
"A790","Inpatient",NA
"A790","Outpatient",773.29321
"A791","Inpatient",NA
"A791","Outpatient",1041.3674
"A7981","Inpatient",NA
"A7981","Outpatient",259.07944
"A7989","Inpatient",8328.1816
"A7989","Outpatient",155.20538
"A799","Inpatient",10603.022
"A799","Outpatient",225.19991
"A800","Inpatient",NA
"A800","Outpatient",739.97833
"A8030","Inpatient",8711.4336
"A8030","Outpatient",593.37567
"A8039","Inpatient",NA
"A8039","Outpatient",682.78522
"A804","Inpatient",NA
"A804","Outpatient",775.25372
"A809","Inpatient",6826.022
"A809","Outpatient",544.42859
"A8100","Inpatient",16383.295
"A8100","Outpatient",512.02594
"A8101","Inpatient",14393.765
"A8101","Outpatient",121.39143
"A8109","Inpatient",16514.711
"A8109","Outpatient",239.22815
"A811","Inpatient",NA
"A811","Outpatient",733.3783
"A812","Inpatient",17487.229
"A812","Outpatient",478.95004
"A8182","Inpatient",NA
"A8182","Outpatient",542.44
"A8183","Inpatient",NA
"A8183","Outpatient",160.50577
"A8189","Inpatient",NA
"A8189","Outpatient",325.82251
"A819","Inpatient",9547.3428
"A819","Outpatient",288.896
"A829","Inpatient",NA
"A829","Outpatient",570.11273
"A831","Inpatient",NA
"A831","Outpatient",210.1877
"A832","Inpatient",37369.953
"A832","Outpatient",584.64935
"A833","Inpatient",15841.286
"A833","Outpatient",334.77982
"A838","Inpatient",19524.172
"A838","Outpatient",513.90332
"A839","Inpatient",NA
"A839","Outpatient",154.47128
"A840","Inpatient",NA
"A840","Outpatient",110.144
"A848","Inpatient",37526.152
"A848","Outpatient",163.26768
"A849","Inpatient",12074.501
"A849","Outpatient",241.56731
"A850","Inpatient",18551.543
"A850","Outpatient",NA
"A851","Inpatient",18695.496
"A851","Outpatient",NA
"A852","Inpatient",NA
"A852","Outpatient",110.72755
"A858","Inpatient",20801.412
"A858","Outpatient",426.84528
"A86","Inpatient",18134.086
"A86","Outpatient",577.32104
"A870","Inpatient",11795.547
"A870","Outpatient",371.59756
"A871","Inpatient",NA
"A871","Outpatient",2568.6895
"A872","Inpatient",11788.716
"A872","Outpatient",430.62134
"A878","Inpatient",8282.5918
"A878","Outpatient",671.15399
"A879","Inpatient",9636.9688
"A879","Outpatient",606.9707
"A881","Inpatient",6126.0679
"A881","Outpatient",335.89261
"A888","Inpatient",NA
"A888","Outpatient",310.78043
"A89","Inpatient",5860.0293
"A89","Outpatient",150.50517
"A90","Inpatient",7229.7412
"A90","Outpatient",262.81631
"A91","Inpatient",2800.6563
"A91","Outpatient",136.13557
"A920","Inpatient",NA
"A920","Outpatient",149.49747
"A9230","Inpatient",9433.4941
"A9230","Outpatient",515.70563
"A9231","Inpatient",23038.389
"A9231","Outpatient",622.25446
"A9232","Inpatient",14796.212
"A9232","Outpatient",509.81247
"A9239","Inpatient",9765.377
"A9239","Outpatient",432.76324
"A924","Inpatient",NA
"A924","Outpatient",107.20573
"A925","Inpatient",NA
"A925","Outpatient",122.66308
"A928","Inpatient",NA
"A928","Outpatient",93.814392
"A929","Inpatient",NA
"A929","Outpatient",70.830849
"A930","Inpatient",NA
"A930","Outpatient",194.44519
"A931","Inpatient",NA
"A931","Outpatient",114.6292
"A932","Inpatient",4551.2603
"A932","Outpatient",153.1861
"A938","Inpatient",6337.9751
"A938","Outpatient",246.24706
"A94","Inpatient",5921.3467
