"icd10","visit_type2","monthly_expenditure"
"C029","Inpatient",NA
"C029","Outpatient",757.54376
"C07","Inpatient",NA
"C07","Outpatient",1236.2327
"C099","Inpatient",NA
"C099","Outpatient",936.50189
"C155","Inpatient",NA
"C155","Outpatient",1054.2538
"C159","Inpatient",NA
"C159","Outpatient",558.17126
"C160","Inpatient",NA
"C160","Outpatient",631.9679
"C169","Inpatient",NA
"C169","Outpatient",630.73706
"C180","Inpatient",NA
"C180","Outpatient",479.85605
"C182","Inpatient",3590.1431
"C182","Outpatient",395.37253
"C184","Inpatient",NA
"C184","Outpatient",461.50476
"C186","Inpatient",NA
"C186","Outpatient",548.18146
"C187","Inpatient",NA
"C187","Outpatient",716.43628
"C189","Inpatient",1176.822
"C189","Outpatient",417.52524
"C19","Inpatient",NA
"C19","Outpatient",551.00183
"C20","Inpatient",2215.5667
"C20","Outpatient",635.41516
"C210","Inpatient",NA
"C210","Outpatient",637.13934
"C211","Inpatient",NA
"C211","Outpatient",990.17627
"C220","Inpatient",2201.6858
"C220","Outpatient",1759.0709
"C221","Inpatient",NA
"C221","Outpatient",429.9584
"C250","Inpatient",2517.0737
"C250","Outpatient",916.84302
"C251","Inpatient",NA
"C251","Outpatient",947.06262
"C252","Inpatient",NA
"C252","Outpatient",847.20831
"C259","Inpatient",-283.81116
"C259","Outpatient",548.48529
"C320","Inpatient",NA
"C320","Outpatient",861.1123
"C321","Inpatient",NA
"C321","Outpatient",1015.2851
"C329","Inpatient",NA
"C329","Outpatient",521.90723
"C3400","Inpatient",NA
"C3400","Outpatient",910.42389
"C3401","Inpatient",NA
"C3401","Outpatient",1291.5459
"C3402","Inpatient",NA
"C3402","Outpatient",1560.1959
"C3410","Inpatient",NA
"C3410","Outpatient",775.29236
"C3411","Inpatient",727.22473
"C3411","Outpatient",1634.8246
"C3412","Inpatient",563.21246
"C3412","Outpatient",1584.2263
"C342","Inpatient",NA
"C342","Outpatient",1530.572
"C3430","Inpatient",NA
"C3430","Outpatient",641.229
"C3431","Inpatient",695.39734
"C3431","Outpatient",1528.4604
"C3432","Inpatient",NA
"C3432","Outpatient",1574.8596
"C3480","Inpatient",NA
"C3480","Outpatient",1352.748
"C3481","Inpatient",NA
"C3481","Outpatient",1785.5173
"C3482","Inpatient",NA
"C3482","Outpatient",1859.0131
"C3490","Inpatient",-651.88867
"C3490","Outpatient",773.5611
"C3491","Inpatient",-204.78061
"C3491","Outpatient",908.04095
"C3492","Inpatient",-212.81778
"C3492","Outpatient",848.28699
"C4339","Inpatient",NA
"C4339","Outpatient",1569.4034
"C434","Inpatient",NA
"C434","Outpatient",2130.677
"C4359","Inpatient",NA
"C4359","Outpatient",1831.4431
"C4361","Inpatient",NA
"C4361","Outpatient",1689.4608
"C4362","Inpatient",NA
"C4362","Outpatient",1525.4362
"C4371","Inpatient",NA
"C4371","Outpatient",1848.5599
"C4372","Inpatient",NA
"C4372","Outpatient",1868.7041
"C439","Inpatient",NA
"C439","Outpatient",1986.4153
"C4401","Inpatient",NA
"C4401","Outpatient",700.54401
"C44212","Inpatient",NA
"C44212","Outpatient",675.44318
"C44219","Inpatient",NA
"C44219","Outpatient",653.07867
"C44222","Inpatient",NA
"C44222","Outpatient",650.84467
"C44229","Inpatient",NA
"C44229","Outpatient",673.29272
"C44310","Inpatient",NA
"C44310","Outpatient",276.56802
"C44311","Inpatient",NA
"C44311","Outpatient",740.54462
"C44319","Inpatient",NA
"C44319","Outpatient",609.26666
"C44320","Inpatient",NA
"C44320","Outpatient",3229.021
"C44321","Inpatient",NA
"C44321","Outpatient",693.97748
"C44329","Inpatient",NA
"C44329","Outpatient",648.45813
"C4441","Inpatient",NA
"C4441","Outpatient",472.92651
"C4442","Inpatient",NA
"C4442","Outpatient",627.495
"C44519","Inpatient",NA
"C44519","Outpatient",304.06857
"C44529","Inpatient",NA
"C44529","Outpatient",368.50708
"C44612","Inpatient",NA
"C44612","Outpatient",311.88837
"C44619","Inpatient",NA
"C44619","Outpatient",321.92062
"C44622","Inpatient",NA
"C44622","Outpatient",424.38092
"C44629","Inpatient",NA
"C44629","Outpatient",408.42682
"C44722","Inpatient",NA
"C44722","Outpatient",457.24536
"C44729","Inpatient",NA
"C44729","Outpatient",452.73331
"C4492","Inpatient",NA
"C4492","Outpatient",459.09637
"C450","Inpatient",NA
"C450","Outpatient",3016.135
"C482","Inpatient",NA
"C482","Outpatient",579.62714
"C499","Inpatient",NA
"C499","Outpatient",809.24866
"C50011","Inpatient",NA
"C50011","Outpatient",652.13599
"C50012","Inpatient",NA
"C50012","Outpatient",731.8623
"C50111","Inpatient",NA
"C50111","Outpatient",800.34955
"C50112","Inpatient",NA
"C50112","Outpatient",910.10858
"C50211","Inpatient",NA
"C50211","Outpatient",888.39203
"C50212","Inpatient",NA
"C50212","Outpatient",852.0954
"C50311","Inpatient",NA
"C50311","Outpatient",817.80945
"C50312","Inpatient",NA
"C50312","Outpatient",936.87408
"C50411","Inpatient",NA
"C50411","Outpatient",872.31995
"C50412","Inpatient",NA
"C50412","Outpatient",869.97681
"C50419","Inpatient",NA
"C50419","Outpatient",269.98071
"C50511","Inpatient",NA
"C50511","Outpatient",862.77075
"C50512","Inpatient",NA
"C50512","Outpatient",967.39905
"C50811","Inpatient",NA
"C50811","Outpatient",951.40338
"C50812","Inpatient",NA
"C50812","Outpatient",918.18756
"C50911","Inpatient",438.29538
"C50911","Outpatient",662.8111
"C50912","Inpatient",420.62833
"C50912","Outpatient",673.93085
"C50919","Inpatient",-42.442856
"C50919","Outpatient",336.00171
"C539","Inpatient",NA
"C539","Outpatient",1068.9978
"C541","Inpatient",932.0155
"C541","Outpatient",646.08929
"C549","Inpatient",NA
"C549","Outpatient",250.1143
"C55","Inpatient",NA
"C55","Outpatient",389.31433
"C561","Inpatient",NA
"C561","Outpatient",507.22925
"C562","Inpatient",NA
"C562","Outpatient",225.95622
"C569","Inpatient",209.44054
"C569","Outpatient",414.58688
"C61","Inpatient",672.82953
"C61","Outpatient",598.39795
"C641","Inpatient",NA
"C641","Outpatient",1003.0403
"C642","Inpatient",NA
"C642","Outpatient",1000.5839
"C649","Inpatient",NA
"C649","Outpatient",501.25586
"C670","Inpatient",NA
"C670","Outpatient",736.18097
"C672","Inpatient",NA
"C672","Outpatient",602.35205
"C674","Inpatient",NA
"C674","Outpatient",551.89203
"C678","Inpatient",NA
"C678","Outpatient",617.0603
"C679","Inpatient",849.20508
"C679","Outpatient",473.07202
"C711","Inpatient",NA
"C711","Outpatient",1253.8278
"C712","Inpatient",NA
"C712","Outpatient",1769.238
"C719","Inpatient",NA
"C719","Outpatient",1317.946
"C73","Inpatient",NA
"C73","Outpatient",324.83588
"C760","Inpatient",NA
"C760","Outpatient",1130.1578
"C770","Inpatient",NA
"C770","Outpatient",878.48834
"C771","Inpatient",2566.5469
"C771","Outpatient",83.988167
"C772","Inpatient",4003.9309
"C772","Outpatient",-183.37801
"C773","Inpatient",NA
"C773","Outpatient",814.5293
"C774","Inpatient",NA
"C774","Outpatient",1195.1385
"C775","Inpatient",NA
"C775","Outpatient",485.85629
"C778","Inpatient",NA
"C778","Outpatient",-209.19464
"C779","Inpatient",1591.7847
"C779","Outpatient",265.92178
"C7800","Inpatient",-154.3423
"C7800","Outpatient",249.46841
"C7801","Inpatient",585.66815
"C7801","Outpatient",171.59047
"C7802","Inpatient",663.88275
"C7802","Outpatient",94.031776
"C781","Inpatient",NA
"C781","Outpatient",32.697166
"C782","Inpatient",NA
"C782","Outpatient",-411.92902
"C786","Inpatient",2242.0747
"C786","Outpatient",-182.64133
"C787","Inpatient",-695.05151
"C787","Outpatient",626.18573
"C7889","Inpatient",NA
"C7889","Outpatient",13.354408
"C792","Inpatient",NA
"C792","Outpatient",490.85635
"C7931","Inpatient",277.23676
"C7931","Outpatient",1448.6748
"C7949","Inpatient",NA
"C7949","Outpatient",713.36572
"C7951","Inpatient",696.05768
"C7951","Outpatient",1317.6373
"C7952","Inpatient",NA
"C7952","Outpatient",624.5694
"C7971","Inpatient",NA
"C7971","Outpatient",528.99292
"C7972","Inpatient",NA
"C7972","Outpatient",427.70789
"C7982","Inpatient",NA
"C7982","Outpatient",232.05148
"C7989","Inpatient",3645.9482
"C7989","Outpatient",160.62048
"C799","Inpatient",206.27246
"C799","Outpatient",944.1759
"C7A00","Inpatient",NA
"C7A00","Outpatient",2450.136
"C7A012","Inpatient",NA
"C7A012","Outpatient",2864.8843
"C7A019","Inpatient",NA
"C7A019","Outpatient",3271.8855
"C7A090","Inpatient",NA
"C7A090","Outpatient",1600.3928
"C7A098","Inpatient",NA
"C7A098","Outpatient",2816.4563
"C7A1","Inpatient",NA
"C7A1","Outpatient",951.11194
"C7A8","Inpatient",NA
"C7A8","Outpatient",2049.2422
"C7B02","Inpatient",NA
"C7B02","Outpatient",2234.1101
"C7B8","Inpatient",NA
"C7B8","Outpatient",2066.2507
"C801","Inpatient",1183.3083
"C801","Outpatient",528.26202
"C8190","Inpatient",NA
"C8190","Outpatient",1497.6128
"C8218","Inpatient",NA
"C8218","Outpatient",2175.9521
"C8290","Inpatient",NA
"C8290","Outpatient",1451.4645
"C8300","Inpatient",NA
"C8300","Outpatient",1051.744
"C8310","Inpatient",NA
"C8310","Outpatient",1725.533
"C8318","Inpatient",NA
"C8318","Outpatient",1594.1925
"C8330","Inpatient",3916.0452
"C8330","Outpatient",1215.427
"C8331","Inpatient",NA
"C8331","Outpatient",1895.5985
"C8333","Inpatient",NA
"C8333","Outpatient",1732.9902
"C8338","Inpatient",NA
"C8338","Outpatient",1614.5011
"C8339","Inpatient",NA
"C8339","Outpatient",1411.5496
"C8510","Inpatient",NA
"C8510","Outpatient",1278.7358
"C8580","Inpatient",NA
"C8580","Outpatient",1086.1897
"C8589","Inpatient",NA
"C8589","Outpatient",793.37762
"C8590","Inpatient",1063.4965
"C8590","Outpatient",1269.4069
"C880","Inpatient",NA
"C880","Outpatient",1117.5864
"C884","Inpatient",NA
"C884","Outpatient",1125.724
"C9000","Inpatient",1230.6066
"C9000","Outpatient",1590.8196
"C9001","Inpatient",NA
"C9001","Outpatient",-61.822216
"C9002","Inpatient",NA
"C9002","Outpatient",2921.7175
"C9100","Inpatient",NA
"C9100","Outpatient",2052.5269
"C9110","Inpatient",719.37927
"C9110","Outpatient",667.15576
"C9190","Inpatient",NA
"C9190","Outpatient",132.87032
"C9200","Inpatient",8881.0029
"C9200","Outpatient",1570.8265
"C9210","Inpatient",NA
"C9210","Outpatient",156.8363
"D0439","Inpatient",NA
"D0439","Outpatient",409.91492
"D044","Inpatient",NA
"D044","Outpatient",361.88843
"D0511","Inpatient",NA
"D0511","Outpatient",859.55249
"D0512","Inpatient",NA
"D0512","Outpatient",889.84991
"D120","Inpatient",NA
"D120","Outpatient",390.88907
"D122","Inpatient",794.49634
"D122","Outpatient",360.17899
"D123","Inpatient",NA
"D123","Outpatient",327.71826
"D124","Inpatient",NA
"D124","Outpatient",235.14586
"D125","Inpatient",NA
"D125","Outpatient",301.4281
"D126","Inpatient",NA
"D126","Outpatient",111.31908
"D128","Inpatient",NA
"D128","Outpatient",357.87592
"D1801","Inpatient",NA
"D1801","Outpatient",55.24876
"D225","Inpatient",NA
"D225","Outpatient",95.069084
"D229","Inpatient",NA
"D229","Outpatient",12.877394
"D235","Inpatient",NA
"D235","Outpatient",143.28017
"D259","Inpatient",NA
"D259","Outpatient",508.98599
"D320","Inpatient",3920.2161
"D320","Outpatient",553.39984
"D329","Inpatient",NA
"D329","Outpatient",267.02283
"D3A8","Inpatient",NA
"D3A8","Outpatient",1595.2075
"D45","Inpatient",NA
"D45","Outpatient",35.106621
"D461","Inpatient",NA
"D461","Outpatient",1256.1497
"D4620","Inpatient",NA
"D4620","Outpatient",955.11829
"D469","Inpatient",46.100838
"D469","Outpatient",1077.4003
"D46A","Inpatient",NA
"D46A","Outpatient",1546.9325
"D46Z","Inpatient",NA
"D46Z","Outpatient",1091.1134
"D472","Inpatient",547.52692
"D472","Outpatient",142.3878
"D473","Inpatient",1588.7052
"D473","Outpatient",31.265676
"D485","Inpatient",NA
"D485","Outpatient",137.65463
"D492","Inpatient",NA
"D492","Outpatient",140.06297
"D494","Inpatient",NA
"D494","Outpatient",678.61078
"D500","Inpatient",883.08203
"D500","Outpatient",170.4424
"D508","Inpatient",79.586632
"D508","Outpatient",125.19041
"D509","Inpatient",174.74622
"D509","Outpatient",213.16463
"D510","Inpatient",NA
"D510","Outpatient",7.651804
"D518","Inpatient",NA
"D518","Outpatient",107.71394
"D519","Inpatient",-721.77936
"D519","Outpatient",95.010361
"D529","Inpatient",NA
"D529","Outpatient",-50.432796
"D539","Inpatient",50.070488
"D539","Outpatient",76.643333
"D571","Inpatient",NA
"D571","Outpatient",708.25366
"D591","Inpatient",NA
"D591","Outpatient",929.17596
"D593","Inpatient",NA
"D593","Outpatient",29409.307
"D595","Inpatient",NA
"D595","Outpatient",28811.584
"D61810","Inpatient",7089.624
"D61810","Outpatient",900.03687
"D61818","Inpatient",1222.3428
"D61818","Outpatient",361.27878
"D62","Inpatient",6856.7896
"D62","Outpatient",350.41501
"D630","Inpatient",1181.4375
"D630","Outpatient",127.24158
"D631","Inpatient",177.00635
"D631","Outpatient",461.21326
"D638","Inpatient",595.38995
"D638","Outpatient",77.1549
"D6481","Inpatient",-1484.8525
"D6481","Outpatient",1293.1586
"D6489","Inpatient",655.80591
"D6489","Outpatient",208.66971
"D649","Inpatient",763.10767
"D649","Outpatient",100.16982
"D65","Inpatient",9665.9463
"D65","Outpatient",NA
"D66","Inpatient",NA
"D66","Outpatient",28727.693
"D67","Inpatient",NA
"D67","Outpatient",40998.781
"D680","Inpatient",NA
"D680","Outpatient",3306.3496
"D6832","Inpatient",961.91138
"D6832","Outpatient",NA
"D684","Inpatient",6340.8125
"D684","Outpatient",NA
"D6851","Inpatient",1116.0785
"D6851","Outpatient",45.115337
"D6859","Inpatient",1650.0397
"D6859","Outpatient",1.5563111
"D6869","Inpatient",758.90045
"D6869","Outpatient",NA
"D688","Inpatient",NA
"D688","Outpatient",269.13605
"D689","Inpatient",5234.7915
"D689","Outpatient",269.72397
"D693","Inpatient",2077.4348
"D693","Outpatient",1890.5793
"D6959","Inpatient",1564.1482
"D6959","Outpatient",-126.2616
"D696","Inpatient",1254.3962
"D696","Outpatient",163.40213
"D701","Inpatient",-1116.3065
"D701","Outpatient",3209.3909
"D702","Inpatient",NA
"D702","Outpatient",1320.2467
"D709","Inpatient",1066.046
"D709","Outpatient",599.56293
"D72819","Inpatient",12.302081
"D72819","Outpatient",40.083347
"D72828","Inpatient",1193.9005
"D72828","Outpatient",NA
"D72829","Inpatient",1120.9805
"D72829","Outpatient",298.13141
"D751","Inpatient",63.151222
"D751","Outpatient",-24.887245
"D7582","Inpatient",7569.4927
"D7582","Outpatient",NA
"D7589","Inpatient",-240.506
"D7589","Outpatient",59.064602
"D801","Inpatient",3822.0095
"D801","Outpatient",1488.4968
"D803","Inpatient",NA
"D803","Outpatient",1306.8362
"D830","Inpatient",NA
"D830","Outpatient",3006.0066
"D838","Inpatient",NA
"D838","Outpatient",2937.6294
"D839","Inpatient",NA
"D839","Outpatient",3378.2351
"D849","Inpatient",NA
"D849","Outpatient",370.52814
"D869","Inpatient",662.62054
"D869","Outpatient",162.07426
"D89811","Inpatient",NA
"D89811","Outpatient",1870.2356
"D899","Inpatient",NA
"D899","Outpatient",118.62514
"E032","Inpatient",NA
"E032","Outpatient",680.78503
"E034","Inpatient",NA
"E034","Outpatient",-97.339561
"E038","Inpatient",707.79443
"E038","Outpatient",-10.911759
"E039","Inpatient",335.73245
"E039","Outpatient",54.60743
"E041","Inpatient",931.48041
"E041","Outpatient",194.83646
"E042","Inpatient",602.12805
"E042","Outpatient",182.16151
"E049","Inpatient",NA
"E049","Outpatient",150.74828
"E0500","Inpatient",NA
"E0500","Outpatient",119.80574
"E0590","Inpatient",751.00769
"E0590","Outpatient",67.437531
"E063","Inpatient",1875.12
"E063","Outpatient",133.37421
"E079","Inpatient",442.83405
"E079","Outpatient",106.19736
"E1010","Inpatient",-88.770195
"E1010","Outpatient",NA
"E1022","Inpatient",360.37277
"E1022","Outpatient",139.18069
"E1029","Inpatient",NA
"E1029","Outpatient",123.86436
"E10319","Inpatient",1235.4071
"E10319","Outpatient",NA
"E1040","Inpatient",520.48285
"E1040","Outpatient",NA
"E1042","Inpatient",482.83783
"E1042","Outpatient",NA
"E1043","Inpatient",236.10393
"E1043","Outpatient",NA
"E10649","Inpatient",1272.9207
"E10649","Outpatient",NA
"E1065","Inpatient",789.73413
"E1065","Outpatient",314.99414
"E109","Inpatient",897.58472
"E109","Outpatient",151.88943
"E1110","Inpatient",532.37885
"E1110","Outpatient",NA
"E1121","Inpatient",642.62891
"E1121","Outpatient",0.69147652
"E1122","Inpatient",-11.140199
"E1122","Outpatient",22.431452
"E1129","Inpatient",NA
"E1129","Outpatient",70.194466
"E11311","Inpatient",NA
"E11311","Outpatient",414.00574
"E11319","Inpatient",784.0686
"E11319","Outpatient",5.9258394
"E11321","Inpatient",NA
"E11321","Outpatient",499.08524
"E11329","Inpatient",NA
"E11329","Outpatient",81.304512
"E113293","Inpatient",NA
"E113293","Outpatient",74.921165
"E11331","Inpatient",NA
"E11331","Outpatient",789.46564
"E113311","Inpatient",NA
"E113311","Outpatient",693.22717
"E113312","Inpatient",NA
"E113312","Outpatient",727.5329
"E113313","Inpatient",NA
"E113313","Outpatient",876.85999
"E11341","Inpatient",NA
"E11341","Outpatient",898.41833
"E113413","Inpatient",NA
"E113413","Outpatient",1140.0883
"E11351","Inpatient",NA
"E11351","Outpatient",710.57367
"E113511","Inpatient",NA
"E113511","Outpatient",684.90924
"E113512","Inpatient",NA
"E113512","Outpatient",681.73474
"E113513","Inpatient",NA
"E113513","Outpatient",757.89423
"E11359","Inpatient",NA
"E11359","Outpatient",249.2338
"E1136","Inpatient",2070.7693
"E1136","Outpatient",172.13194
"E1139","Inpatient",NA
"E1139","Outpatient",-284.05688
"E1140","Inpatient",70.194641
"E1140","Outpatient",25.130415
"E1142","Inpatient",162.18251
"E1142","Outpatient",19.44379
"E1143","Inpatient",57.955532
"E1143","Outpatient",-9.8228159
"E1149","Inpatient",NA
"E1149","Outpatient",36.938957
"E1151","Inpatient",494.3949
"E1151","Outpatient",113.09753
"E1152","Inpatient",4378.4951
"E1152","Outpatient",593.86285
"E1159","Inpatient",523.04449
"E1159","Outpatient",13.713161
"E11610","Inpatient",1337.0514
"E11610","Outpatient",NA
"E11621","Inpatient",722.30096
"E11621","Outpatient",568.57605
"E11622","Inpatient",611.03192
"E11622","Outpatient",234.43042
"E11628","Inpatient",38.70853
"E11628","Outpatient",NA
"E11649","Inpatient",537.74091
"E11649","Outpatient",144.09169
"E1165","Inpatient",938.77002
"E1165","Outpatient",40.783173
"E1169","Inpatient",1037.3007
"E1169","Outpatient",15.022899
"E118","Inpatient",705.83002
"E118","Outpatient",18.168488
"E119","Inpatient",759.47516
"E119","Outpatient",46.246292
"E1310","Inpatient",258.65439
"E1310","Outpatient",NA
"E139","Inpatient",NA
"E139","Outpatient",38.23991
"E162","Inpatient",-744.25421
"E162","Outpatient",144.86125
"E210","Inpatient",NA
"E210","Outpatient",431.02411
"E211","Inpatient",NA
"E211","Outpatient",217.90457
"E213","Inpatient",675.95673
"E213","Outpatient",173.1209
"E222","Inpatient",2035.4845
"E222","Outpatient",NA
"E2740","Inpatient",2467.0046
"E2740","Outpatient",168.63078
"E279","Inpatient",NA
"E279","Outpatient",66.348076
"E291","Inpatient",NA
"E291","Outpatient",88.786331
"E340","Inpatient",NA
"E340","Outpatient",3302.6646
"E43","Inpatient",5151.2632
"E43","Outpatient",556.36584
"E440","Inpatient",1852.3313
"E440","Outpatient",285.48895
"E441","Inpatient",1566.8176
"E441","Outpatient",-20.242256
"E46","Inpatient",3252.6838
"E46","Outpatient",64.971809
"E538","Inpatient",40.692802
"E538","Outpatient",-15.390714
"E539","Inpatient",NA
"E539","Outpatient",48.990952
"E559","Inpatient",317.26794
"E559","Outpatient",-43.724636
"E569","Inpatient",-1909.444
"E569","Outpatient",NA
"E611","Inpatient",-184.95374
"E611","Outpatient",-12.071789
"E6601","Inpatient",-80.127235
"E6601","Outpatient",68.480797
"E6609","Inpatient",322.12723
"E6609","Outpatient",-103.98032
"E662","Inpatient",664.5401
"E662","Outpatient",NA
"E663","Inpatient",948.7262
"E663","Outpatient",30.255693
"E669","Inpatient",139.71049
"E669","Outpatient",247.58812
"E7220","Inpatient",779.23242
"E7220","Outpatient",NA
"E7402","Inpatient",NA
"E7402","Outpatient",40209.695
"E7521","Inpatient",NA
"E7521","Outpatient",15873.809
"E7522","Inpatient",NA
"E7522","Outpatient",19217.557
"E780","Inpatient",656.20087
"E780","Outpatient",45.679333
"E7800","Inpatient",597.93671
"E7800","Outpatient",48.825775
"E781","Inpatient",495.9451
"E781","Outpatient",-52.662193
"E782","Inpatient",-162.63718
"E782","Outpatient",-50.120716
"E784","Inpatient",-89.401672
"E784","Outpatient",-27.254854
"E7849","Inpatient",26.806835
"E7849","Outpatient",-41.690983
"E785","Inpatient",516.42267
"E785","Outpatient",68.798149
"E790","Inpatient",NA
"E790","Outpatient",-152.30975
"E806","Inpatient",1019.7728
"E806","Outpatient",NA
"E8310","Inpatient",NA
"E8310","Outpatient",-163.24747
"E8330","Inpatient",NA
"E8330","Outpatient",95.75695
"E8339","Inpatient",1932.8201
"E8339","Outpatient",91.365074
"E8340","Inpatient",NA
"E8340","Outpatient",39.034016
"E8341","Inpatient",-450.68408
"E8341","Outpatient",NA
"E8342","Inpatient",-74.016296
"E8342","Outpatient",109.16487
"E8350","Inpatient",NA
"E8350","Outpatient",125.20282
"E8351","Inpatient",667.97473
"E8351","Outpatient",96.126083
"E8352","Inpatient",776.12244
"E8352","Outpatient",56.238171
"E8359","Inpatient",NA
"E8359","Outpatient",47.673328
"E854","Inpatient",1027.7845
"E854","Outpatient",NA
"E860","Inpatient",-1042.2209
"E860","Outpatient",600.591
"E861","Inpatient",468.34528
"E861","Outpatient",291.26343
"E869","Inpatient",-1219.8334
"E869","Outpatient",725.26654
"E870","Inpatient",4233.0264
"E870","Outpatient",-25.296581
"E871","Inpatient",1287.3986
"E871","Outpatient",81.73333
"E872","Inpatient",563.99805
"E872","Outpatient",90.481636
"E873","Inpatient",5274.8071
"E873","Outpatient",NA
"E874","Inpatient",6175.2798
"E874","Outpatient",NA
"E875","Inpatient",383.54959
"E875","Outpatient",40.057594
"E876","Inpatient",-32.895363
"E876","Outpatient",88.412842
"E8770","Inpatient",1801.1747
"E8770","Outpatient",463.95642
"E8779","Inpatient",952.3678
"E8779","Outpatient",579.57928
"E878","Inpatient",509.31976
"E878","Outpatient",30.488398
"E8801","Inpatient",NA
"E8801","Outpatient",4759.4683
"E8809","Inpatient",197.43077
"E8809","Outpatient",44.826012
"E883","Inpatient",17270.238
"E883","Outpatient",NA
"E8881","Inpatient",824.22137
"E8881","Outpatient",38.492626
"E890","Inpatient",471.87411
"E890","Outpatient",39.374142
"F0150","Inpatient",-170.16182
"F0150","Outpatient",28.684942
"F0151","Inpatient",1794.0005
"F0151","Outpatient",63.092743
"F0280","Inpatient",-5.6830478
"F0280","Outpatient",53.858437
"F0281","Inpatient",1701.2117
"F0281","Outpatient",69.886848
"F0390","Inpatient",232.50108
"F0390","Outpatient",89.304558
"F0391","Inpatient",1047.0211
"F0391","Outpatient",111.29344
"F05","Inpatient",3103.3518
"F05","Outpatient",398.51733
"F068","Inpatient",NA
"F068","Outpatient",146.71277
"F09","Inpatient",1907.8934
"F09","Outpatient",NA
"F1010","Inpatient",666.7951
"F1010","Outpatient",192.99834
"F1011","Inpatient",1010.9999
"F1011","Outpatient",NA
"F10129","Inpatient",NA
"F10129","Outpatient",634.81097
"F1020","Inpatient",729.15259
"F1020","Outpatient",351.15097
"F1021","Inpatient",741.51514
"F1021","Outpatient",96.784027
"F10231","Inpatient",1052.6659
"F10231","Outpatient",NA
"F10239","Inpatient",689.39532
"F10239","Outpatient",NA
"F1099","Inpatient",1676.3761
"F1099","Outpatient",222.61542
"F1110","Inpatient",911.44916
"F1110","Outpatient",NA
"F1120","Inpatient",940.25751
"F1120","Outpatient",205.43834
"F1123","Inpatient",986.57202
"F1123","Outpatient",NA
"F1210","Inpatient",1063.3109
"F1210","Outpatient",237.08231
"F1290","Inpatient",1010.6161
"F1290","Outpatient",347.31299
"F1410","Inpatient",506.40063
"F1410","Outpatient",NA
"F1510","Inpatient",1218.3179
"F1510","Outpatient",NA
"F17200","Inpatient",1355.3287
"F17200","Outpatient",134.89288
"F17210","Inpatient",1364.7213
"F17210","Outpatient",256.8399
"F17220","Inpatient",551.73877
"F17220","Outpatient",319.55658
"F17290","Inpatient",1089.3845
"F17290","Outpatient",271.85025
